trial_id,crowd_density_humans,fixed_fleet_size,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
52,30,4,100.0,36.75,0.15,0.31,54
53,2,4,100.0,24.95,0.116,0.02,72
53,6,4,100.0,76.25,0.138,1.93,134
53,12,4,100.0,29.6,0.142,0.27,72
53,18,4,100.0,161.9,0.181,17.32,76
53,24,4,100.0,41.35,0.185,1.17,51
53,30,4,100.0,124.6,0.254,12.41,98
54,2,4,100.0,30.3,0.097,0.02,82
54,6,4,100.0,31.4,0.086,0.13,54
54,12,4,100.0,52.3,0.131,0.13,50
54,18,4,100.0,65.25,0.141,0.77,65
54,24,4,100.0,49.35,0.219,2.6,66
54,30,4,100.0,60.15,0.183,2.49,111
55,2,4,100.0,36.4,0.098,0.04,77
55,6,4,100.0,85.1,0.145,0.73,59
55,12,4,100.0,31.75,0.12,0.42,80
55,18,4,100.0,40.75,0.225,1.88,67
55,24,4,100.0,46.5,0.152,0.96,64
55,30,4,100.0,113.0,0.147,7.4,58
56,2,4,100.0,24.5,0.098,0.01,123
56,6,4,100.0,32.65,0.081,0.09,59
56,12,4,100.0,45.35,0.138,0.06,61
56,18,4,100.0,37.8,0.162,1.28,69
56,24,4,100.0,41.8,0.142,0.79,48
56,30,4,100.0,35.25,0.191,1.02,62
57,2,4,100.0,30.65,0.089,0.49,71
57,6,4,100.0,32.75,0.114,0.54,97
57,12,4,100.0,55.0,0.174,0.08,60
57,18,4,100.0,48.85,0.151,0.6,50
57,24,4,100.0,72.3,0.175,0.61,52
57,30,4,100.0,44.4,0.146,0.85,54
58,2,4,100.0,24.95,0.089,0.07,147
58,6,4,100.0,37.0,0.117,0.25,57
58,12,4,100.0,38.7,0.12,0.22,55
58,18,4,100.0,53.65,0.105,1.77,86
58,24,4,100.0,51.9,0.169,0.54,51
58,30,4,100.0,40.3,0.13,1.22,65
59,2,4,100.0,65.35,0.103,0.01,108
59,6,4,100.0,39.9,0.107,0.86,61
59,12,4,100.0,40.05,0.157,0.02,56
59,18,4,100.0,47.8,0.145,0.13,51
59,24,4,100.0,36.35,0.134,0.25,44
59,30,4,100.0,60.8,0.259,0.9,56
60,2,4,100.0,24.75,0.076,0.03,67
60,6,4,100.0,39.9,0.115,0.05,51
60,12,4,100.0,39.5,0.135,0.04,75
60,18,4,100.0,63.15,0.112,0.07,50
60,24,4,100.0,54.95,0.166,2.9,66
60,30,4,100.0,38.55,0.175,0.01,72
61,2,4,100.0,19.2,0.118,0.0,108
61,6,4,100.0,88.7,0.152,2.75,67
61,12,4,100.0,30.6,0.142,0.37,47
61,18,4,100.0,46.3,0.137,2.04,98
61,24,4,100.0,29.85,0.171,0.05,55
61,30,4,100.0,34.45,0.186,0.33,47
62,2,4,100.0,29.9,0.088,0.1,98
62,6,4,100.0,38.7,0.091,0.05,55
62,12,4,100.0,33.2,0.099,0.19,29
62,18,4,100.0,70.7,0.1,2.86,77
62,24,4,100.0,72.15,0.121,1.32,54
62,30,4,100.0,48.95,0.122,0.66,26
63,2,4,100.0,47.35,0.093,0.01,93
63,6,4,100.0,30.1,0.115,0.05,60
63,12,4,100.0,40.8,0.172,0.61,66
63,18,4,100.0,41.3,0.151,0.59,57
63,24,4,100.0,37.15,0.174,0.78,58
63,30,4,100.0,51.9,0.139,0.9,47
64,2,4,100.0,21.45,0.107,0.05,96
64,6,4,100.0,35.45,0.106,0.02,58
64,12,4,100.0,32.4,0.134,0.44,54
64,18,4,100.0,45.7,0.135,0.24,46
64,24,4,100.0,39.05,0.149,0.77,54
64,30,4,100.0,80.05,0.163,8.8,67
65,2,4,100.0,26.1,0.093,0.01,85
65,6,4,100.0,41.7,0.117,0.01,71
65,12,4,100.0,33.95,0.134,0.13,55
65,18,4,100.0,58.3,0.168,3.68,116
65,24,4,100.0,37.55,0.174,0.48,64
65,30,4,100.0,62.1,0.14,3.22,76
66,2,4,100.0,21.45,0.104,0.01,96
66,6,4,100.0,42.95,0.129,0.01,57
66,12,4,100.0,53.35,0.123,1.27,62
66,18,4,100.0,62.7,0.149,1.15,69
66,24,4,100.0,38.75,0.169,0.97,62
66,30,4,100.0,39.85,0.195,0.25,39
67,2,4,100.0,28.75,0.082,0.24,64
67,6,4,100.0,32.65,0.132,0.77,42
67,12,4,100.0,30.7,0.126,0.14,46
67,18,4,100.0,52.8,0.107,0.15,48
67,24,4,100.0,30.25,0.161,0.65,50
67,30,4,100.0,42.55,0.217,1.18,73
68,2,4,100.0,31.15,0.103,1.61,138
68,6,4,100.0,24.7,0.088,0.0,59
68,12,4,100.0,37.2,0.137,0.01,55
68,18,4,100.0,42.2,0.126,0.45,68
68,24,4,100.0,47.6,0.171,0.41,47
68,30,4,100.0,43.0,0.21,2.72,76
69,2,4,100.0,29.1,0.106,0.0,118
69,6,4,100.0,91.7,0.136,0.28,68
69,12,4,100.0,59.35,0.116,0.07,60
69,18,4,100.0,42.7,0.182,1.0,58
69,24,4,100.0,55.15,0.101,0.92,33
69,30,4,100.0,43.55,0.136,0.22,53
70,2,4,100.0,19.2,0.105,0.01,108
70,6,4,100.0,39.3,0.104,0.74,80
70,12,4,100.0,42.4,0.09,1.11,58
70,18,4,100.0,60.1,0.186,1.32,59
70,24,4,100.0,85.75,0.203,5.96,55
70,30,4,100.0,74.1,0.112,3.54,116
71,2,4,100.0,32.95,0.097,0.01,108
71,6,4,100.0,70.95,0.076,4.55,80
71,12,4,100.0,37.4,0.158,1.16,77
71,18,4,100.0,35.05,0.153,0.31,58
71,24,4,100.0,36.1,0.149,0.46,29
71,30,4,100.0,50.2,0.2,1.42,46
72,2,4,100.0,63.85,0.046,0.05,112
72,6,4,100.0,32.25,0.117,0.03,66
72,12,4,100.0,28.35,0.144,0.24,62
72,18,4,100.0,37.5,0.129,1.93,53
72,24,4,100.0,49.6,0.253,0.43,54
72,30,4,100.0,35.5,0.206,0.63,27
73,2,4,100.0,23.0,0.092,0.01,123
73,6,4,100.0,63.3,0.081,2.52,78
73,12,4,100.0,49.7,0.124,1.65,102
73,18,4,100.0,68.25,0.119,3.78,106
73,24,4,100.0,43.85,0.211,0.86,80
73,30,4,100.0,42.25,0.271,0.59,57
74,2,4,100.0,46.1,0.084,0.51,108
74,6,4,100.0,33.2,0.104,0.02,56
74,12,4,100.0,41.35,0.114,0.25,61
74,18,4,100.0,43.3,0.149,0.01,62
74,24,4,100.0,51.6,0.164,0.26,51
74,30,4,100.0,41.75,0.188,2.07,75
75,2,4,100.0,27.75,0.087,0.0,64
75,6,4,100.0,43.95,0.103,0.12,78
75,12,4,100.0,41.35,0.119,0.34,57
75,18,4,100.0,48.4,0.14,0.11,63
75,24,4,100.0,43.95,0.121,0.05,52
75,30,4,100.0,58.5,0.216,0.08,62
76,2,4,100.0,25.85,0.087,0.02,125
76,6,4,100.0,38.95,0.093,0.68,82
76,12,4,100.0,70.7,0.128,0.57,67
76,18,4,100.0,38.9,0.157,0.46,51
76,24,4,100.0,45.15,0.177,0.75,61
76,30,4,100.0,64.3,0.266,1.7,69
77,2,4,100.0,24.0,0.098,0.0,79
77,6,4,100.0,43.85,0.112,0.01,60
77,12,4,100.0,36.45,0.116,0.02,54
77,18,4,100.0,25.75,0.155,0.34,64
77,24,4,100.0,99.45,0.174,10.88,209
77,30,4,100.0,35.2,0.146,1.89,68
78,2,4,100.0,31.0,0.13,0.03,69
78,6,4,100.0,48.9,0.124,1.03,78
78,12,4,100.0,38.95,0.142,0.5,63
78,18,4,100.0,36.3,0.194,1.81,86
78,24,4,0.0,180.0,0.135,13.2,240
78,30,4,100.0,39.45,0.181,0.87,71
79,2,4,100.0,29.15,0.101,0.0,92
79,6,4,100.0,33.0,0.115,0.01,52
79,12,4,100.0,138.8,0.117,7.24,59
79,18,4,100.0,43.8,0.137,2.04,82
79,24,4,100.0,42.25,0.117,1.11,44
79,30,4,100.0,56.85,0.153,0.7,45
80,2,4,100.0,44.7,0.113,0.0,59
80,6,4,100.0,29.25,0.088,0.06,73
80,12,4,100.0,30.7,0.153,0.03,57
80,18,4,100.0,47.35,0.147,0.44,82
80,24,4,100.0,60.75,0.174,1.59,53
80,30,4,100.0,81.85,0.129,4.39,42
81,2,4,100.0,43.75,0.079,0.01,77
81,6,4,100.0,57.6,0.127,1.47,91
81,12,4,100.0,59.4,0.141,1.35,72
81,18,4,100.0,37.9,0.119,0.76,62
81,24,4,100.0,40.35,0.143,0.25,55
81,30,4,0.0,180.0,0.398,14.32,228
82,2,4,100.0,19.2,0.089,0.0,108
82,6,4,100.0,36.7,0.206,0.18,111
82,12,4,100.0,37.5,0.145,0.29,54
82,18,4,100.0,50.55,0.21,0.54,47
82,24,4,100.0,32.85,0.147,0.73,52
82,30,4,100.0,35.3,0.151,1.26,44
83,2,4,100.0,35.05,0.097,0.0,90
83,6,4,100.0,49.65,0.104,0.16,74
83,12,4,100.0,122.9,0.188,3.55,52
83,18,4,100.0,98.55,0.183,0.78,45
83,24,4,100.0,46.55,0.183,1.0,52
83,30,4,100.0,62.7,0.188,1.64,84
84,2,4,100.0,24.15,0.087,0.08,79
84,6,4,100.0,40.25,0.109,0.46,90
84,12,4,100.0,51.65,0.143,3.93,117
84,18,4,100.0,63.8,0.139,0.71,39
84,24,4,100.0,59.45,0.221,0.47,50
84,30,4,100.0,98.25,0.215,7.51,66
85,2,4,100.0,31.55,0.079,0.0,58
85,6,4,100.0,35.35,0.089,0.01,80
85,12,4,100.0,164.95,0.093,7.8,61
85,18,4,100.0,38.3,0.182,0.05,55
85,24,4,100.0,50.5,0.148,0.98,69
85,30,4,100.0,34.5,0.224,0.33,48
86,2,4,100.0,34.4,0.101,0.04,77
86,6,4,100.0,24.7,0.122,0.02,56
86,12,4,100.0,39.8,0.104,0.0,58
86,18,4,100.0,30.7,0.215,0.15,61
86,24,4,100.0,74.4,0.113,0.64,55
86,30,4,100.0,48.6,0.17,2.13,86
87,2,4,100.0,25.15,0.089,0.1,104
87,6,4,100.0,36.95,0.113,0.08,70
87,12,4,100.0,75.15,0.144,5.61,176
87,18,4,100.0,29.25,0.162,0.77,60
87,24,4,100.0,57.75,0.213,6.55,105
87,30,4,100.0,47.25,0.222,1.05,57
88,2,4,100.0,23.15,0.133,0.05,107
88,6,4,100.0,28.75,0.113,0.44,81
88,12,4,100.0,49.95,0.115,1.67,101
88,18,4,100.0,47.15,0.165,0.4,47
88,24,4,100.0,37.6,0.192,1.45,75
88,30,4,100.0,47.35,0.161,1.01,26
89,2,4,100.0,21.6,0.09,0.0,85
89,6,4,100.0,29.65,0.169,0.23,98
89,12,4,100.0,35.65,0.13,0.44,47
89,18,4,100.0,51.2,0.163,0.09,43
89,24,4,100.0,48.0,0.145,0.62,50
89,30,4,100.0,45.8,0.236,0.96,61
90,2,4,100.0,30.15,0.091,0.13,126
90,6,4,100.0,67.15,0.076,0.28,53
90,12,4,100.0,49.25,0.192,2.04,61
90,18,4,100.0,38.35,0.178,0.19,53
90,24,4,100.0,50.55,0.134,0.55,62
90,30,4,0.0,180.0,0.116,1.02,52
91,2,4,100.0,31.35,0.085,0.0,108
91,6,4,100.0,36.95,0.125,1.18,142
91,12,4,100.0,77.05,0.084,0.08,64
91,18,4,100.0,43.2,0.188,0.56,70
91,24,4,100.0,51.7,0.137,0.34,50
91,30,4,100.0,97.5,0.142,12.6,138
92,2,4,100.0,25.85,0.086,0.0,64
92,6,4,100.0,53.4,0.068,0.06,83
92,12,4,100.0,42.15,0.102,0.29,49
92,18,4,100.0,50.4,0.177,0.56,72
92,24,4,100.0,32.0,0.151,0.36,33
92,30,4,100.0,53.15,0.143,1.67,69
93,2,4,100.0,33.3,0.087,0.01,90
93,6,4,100.0,53.8,0.115,0.04,68
93,12,4,100.0,40.5,0.115,0.0,59
93,18,4,100.0,40.05,0.151,0.36,48
93,24,4,100.0,84.45,0.223,4.32,142
