trial_id,configuration,omitted_component,success,travel_time_s,deadlocks,discomfort_integral,shelf_contact_ticks,shelf_contact_events,min_shelf_clearance_m,inter_cart_crowding
19,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.75,242,73,0.508,0
19,w/o S_trolley cost only,"w_S = 0, controller kept",1,42.2,0,0.0,302,3,0.511,0
19,w/o safety controller only,"controller off, w_S kept",1,39.05,0,0.0,125,27,0.0,0
19,w/o safety (full stack),S_trolley = 0 and controller off,1,39.05,0,0.0,339,77,0.0,0
20,Full D2RO Framework,None (Complete Equation),1,33.45,0,0.01,194,2,0.511,0
20,w/o V2V Mesh Telemetry,W_mesh = 0,1,39.95,0,0.01,288,8,0.485,0
20,w/o Corridor Reservation,R_lock constraint lifted,1,39.95,0,0.01,288,8,0.485,0
20,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.52,116,31,0.512,0
20,w/o S_trolley cost only,"w_S = 0, controller kept",1,33.45,0,0.01,309,5,0.511,0
20,w/o safety controller only,"controller off, w_S kept",1,27.35,0,0.01,66,50,0.0,0
20,w/o safety (full stack),S_trolley = 0 and controller off,1,25.7,0,0.0,222,118,0.0,0
21,Full D2RO Framework,None (Complete Equation),1,39.95,0,0.59,311,7,0.504,0
21,w/o V2V Mesh Telemetry,W_mesh = 0,1,39.5,0,0.57,241,7,0.507,0
21,w/o Corridor Reservation,R_lock constraint lifted,1,39.5,0,0.57,241,7,0.507,0
21,w/o Human Gaussian Proxemics,H_prox = 0,1,46.1,0,1.24,268,3,0.509,0
21,w/o S_trolley cost only,"w_S = 0, controller kept",1,41.65,0,0.75,472,6,0.51,0
21,w/o safety controller only,"controller off, w_S kept",1,37.35,0,0.49,183,101,0.0,0
21,w/o safety (full stack),S_trolley = 0 and controller off,1,70.5,0,1.18,416,166,0.0,0
22,Full D2RO Framework,None (Complete Equation),1,43.0,0,0.01,114,1,0.511,0
22,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.95,0,0.01,51,2,0.512,0
22,w/o Corridor Reservation,R_lock constraint lifted,1,27.95,0,0.01,51,2,0.512,0
22,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,11.19,80,52,0.5,0
22,w/o S_trolley cost only,"w_S = 0, controller kept",1,44.35,0,0.01,246,5,0.511,0
22,w/o safety controller only,"controller off, w_S kept",1,39.85,0,0.01,125,27,0.0,0
22,w/o safety (full stack),S_trolley = 0 and controller off,1,40.5,0,0.01,224,82,0.0,0
23,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.01,114,1,0.511,0
23,w/o V2V Mesh Telemetry,W_mesh = 0,1,26.8,0,0.01,52,2,0.517,0
23,w/o Corridor Reservation,R_lock constraint lifted,1,26.8,0,0.01,52,2,0.517,0
23,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,16.72,170,56,0.505,0
23,w/o S_trolley cost only,"w_S = 0, controller kept",1,42.2,0,0.01,229,4,0.511,0
23,w/o safety controller only,"controller off, w_S kept",1,39.05,0,0.01,125,27,0.0,0
23,w/o safety (full stack),S_trolley = 0 and controller off,1,39.05,0,0.01,216,74,0.0,0
24,Full D2RO Framework,None (Complete Equation),1,44.35,0,0.01,170,4,0.511,0
24,w/o V2V Mesh Telemetry,W_mesh = 0,1,29.35,0,0.01,93,4,0.517,0
24,w/o Corridor Reservation,R_lock constraint lifted,1,29.35,0,0.01,93,4,0.517,0
24,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,11.22,184,57,0.513,0
24,w/o S_trolley cost only,"w_S = 0, controller kept",1,44.35,0,0.01,246,5,0.511,0
24,w/o safety controller only,"controller off, w_S kept",1,40.5,0,0.01,157,55,0.0,0
24,w/o safety (full stack),S_trolley = 0 and controller off,1,40.5,0,0.01,224,82,0.0,0
25,Full D2RO Framework,None (Complete Equation),1,47.5,0,0.02,84,6,0.509,0
25,w/o V2V Mesh Telemetry,W_mesh = 0,1,34.7,0,0.01,136,3,0.515,0
25,w/o Corridor Reservation,R_lock constraint lifted,1,34.7,0,0.01,136,3,0.515,0
25,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,20.29,274,90,0.31,0
25,w/o S_trolley cost only,"w_S = 0, controller kept",1,49.7,0,0.01,313,5,0.511,0
25,w/o safety controller only,"controller off, w_S kept",1,48.35,0,0.02,107,39,0.0,0
25,w/o safety (full stack),S_trolley = 0 and controller off,1,44.95,0,0.01,326,96,0.0,0
26,Full D2RO Framework,None (Complete Equation),1,44.6,0,0.03,187,7,0.51,0
26,w/o V2V Mesh Telemetry,W_mesh = 0,1,39.3,0,0.01,425,6,0.496,0
26,w/o Corridor Reservation,R_lock constraint lifted,1,39.3,0,0.01,425,6,0.496,0
26,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,10.98,292,23,0.511,0
26,w/o S_trolley cost only,"w_S = 0, controller kept",1,47.45,0,0.02,286,5,0.51,0
26,w/o safety controller only,"controller off, w_S kept",1,39.25,0,0.03,166,80,0.0,0
26,w/o safety (full stack),S_trolley = 0 and controller off,1,42.8,0,0.02,279,95,0.0,0
27,Full D2RO Framework,None (Complete Equation),1,36.75,0,0.04,128,4,0.516,0
27,w/o V2V Mesh Telemetry,W_mesh = 0,1,33.6,0,0.04,123,3,0.515,0
27,w/o Corridor Reservation,R_lock constraint lifted,1,33.6,0,0.04,123,3,0.515,0
27,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,14.59,285,38,0.492,0
27,w/o S_trolley cost only,"w_S = 0, controller kept",1,48.6,0,0.11,300,5,0.511,0
27,w/o safety controller only,"controller off, w_S kept",1,36.3,0,0.04,154,44,0.0,0
27,w/o safety (full stack),S_trolley = 0 and controller off,1,43.9,0,0.08,303,95,0.0,0
28,Full D2RO Framework,None (Complete Equation),1,46.3,0,0.04,51,2,0.519,0
28,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.75,0,0.01,52,2,0.517,0
28,w/o Corridor Reservation,R_lock constraint lifted,1,27.75,0,0.01,52,2,0.517,0
28,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,11.06,70,60,0.507,0
28,w/o S_trolley cost only,"w_S = 0, controller kept",1,48.55,0,0.02,225,7,0.512,0
28,w/o safety controller only,"controller off, w_S kept",1,44.9,0,0.04,23,23,0.174,0
28,w/o safety (full stack),S_trolley = 0 and controller off,1,45.0,0,0.02,130,86,0.0,0
29,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,153,3,0.511,0
29,w/o V2V Mesh Telemetry,W_mesh = 0,1,31.75,0,0.0,91,5,0.511,0
29,w/o Corridor Reservation,R_lock constraint lifted,1,31.75,0,0.0,91,5,0.511,0
29,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,16.59,379,54,0.511,0
29,w/o S_trolley cost only,"w_S = 0, controller kept",1,42.2,0,0.0,229,4,0.511,0
29,w/o safety controller only,"controller off, w_S kept",1,39.05,0,0.0,149,47,0.0,0
29,w/o safety (full stack),S_trolley = 0 and controller off,1,39.05,0,0.0,216,74,0.0,0
30,Full D2RO Framework,None (Complete Equation),1,47.6,0,0.04,139,5,0.496,0
30,w/o V2V Mesh Telemetry,W_mesh = 0,1,55.8,0,0.13,249,10,0.496,0
30,w/o Corridor Reservation,R_lock constraint lifted,1,55.8,0,0.13,249,10,0.496,0
30,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.16,172,55,0.5,0
30,w/o S_trolley cost only,"w_S = 0, controller kept",1,56.05,0,0.02,234,16,0.512,0
30,w/o safety controller only,"controller off, w_S kept",1,44.65,0,0.04,82,66,0.0,0
30,w/o safety (full stack),S_trolley = 0 and controller off,1,45.3,0,0.02,181,99,0.0,0
31,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,160,2,0.511,0
31,w/o V2V Mesh Telemetry,W_mesh = 0,1,28.05,0,0.0,46,1,0.517,0
31,w/o Corridor Reservation,R_lock constraint lifted,1,28.05,0,0.0,46,1,0.517,0
31,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,18.43,151,65,0.512,0
31,w/o S_trolley cost only,"w_S = 0, controller kept",1,42.2,0,0.0,229,4,0.511,0
31,w/o safety controller only,"controller off, w_S kept",1,39.05,0,0.0,163,49,0.0,0
31,w/o safety (full stack),S_trolley = 0 and controller off,1,39.05,0,0.0,216,74,0.0,0
32,Full D2RO Framework,None (Complete Equation),1,47.6,0,0.14,100,7,0.495,0
32,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.15,0,0.01,80,4,0.505,0
32,w/o Corridor Reservation,R_lock constraint lifted,1,27.15,0,0.01,80,4,0.505,0
32,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.09,126,67,0.498,0
32,w/o S_trolley cost only,"w_S = 0, controller kept",1,61.6,0,0.47,356,8,0.505,0
32,w/o safety controller only,"controller off, w_S kept",1,46.8,0,0.15,109,69,0.0,0
32,w/o safety (full stack),S_trolley = 0 and controller off,1,99.4,0,0.71,414,178,0.0,0
33,Full D2RO Framework,None (Complete Equation),1,43.1,0,0.1,412,5,0.511,0
33,w/o V2V Mesh Telemetry,W_mesh = 0,1,38.65,0,0.02,162,5,0.511,0
33,w/o Corridor Reservation,R_lock constraint lifted,1,38.65,0,0.02,162,5,0.511,0
33,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,10.48,182,42,0.397,0
33,w/o S_trolley cost only,"w_S = 0, controller kept",1,43.1,0,0.1,488,6,0.511,0
33,w/o safety controller only,"controller off, w_S kept",1,44.95,0,0.03,259,69,0.0,0
33,w/o safety (full stack),S_trolley = 0 and controller off,1,44.95,0,0.03,326,96,0.0,0
34,Full D2RO Framework,None (Complete Equation),1,45.3,0,0.01,144,2,0.511,0
34,w/o V2V Mesh Telemetry,W_mesh = 0,1,27.95,0,0.01,51,2,0.512,0
34,w/o Corridor Reservation,R_lock constraint lifted,1,27.95,0,0.01,51,2,0.512,0
34,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.85,742,81,0.356,0
34,w/o S_trolley cost only,"w_S = 0, controller kept",1,45.3,0,0.0,259,5,0.511,0
34,w/o safety controller only,"controller off, w_S kept",1,40.95,0,0.01,144,46,0.0,0
34,w/o safety (full stack),S_trolley = 0 and controller off,1,40.95,0,0.0,235,93,0.0,0
35,Full D2RO Framework,None (Complete Equation),1,33.2,0,0.09,32,12,0.498,0
35,w/o V2V Mesh Telemetry,W_mesh = 0,1,61.15,0,0.09,644,25,0.507,0
35,w/o Corridor Reservation,R_lock constraint lifted,1,61.15,0,0.09,644,25,0.507,0
35,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,12.4,107,46,0.508,0
35,w/o S_trolley cost only,"w_S = 0, controller kept",1,81.35,0,0.05,957,28,0.51,0
35,w/o safety controller only,"controller off, w_S kept",1,21.2,0,0.04,20,20,0.137,17
35,w/o safety (full stack),S_trolley = 0 and controller off,1,53.4,0,0.18,513,172,0.0,0
36,Full D2RO Framework,None (Complete Equation),1,44.35,0,0.03,131,2,0.511,0
36,w/o V2V Mesh Telemetry,W_mesh = 0,1,29.2,0,0.03,63,1,0.517,0
36,w/o Corridor Reservation,R_lock constraint lifted,1,29.2,0,0.03,63,1,0.517,0
36,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.37,58,27,0.52,0
36,w/o S_trolley cost only,"w_S = 0, controller kept",1,44.35,0,0.04,319,4,0.511,0
