trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
74,12,10,100.0,63.95,0.167,0.0,1166
75,2,10,100.0,42.65,0.16,0.0,12
75,4,10,100.0,106.95,0.115,0.0,76
75,6,10,100.0,116.45,0.106,0.0,265
75,8,10,100.0,166.7,0.26,0.0,1180
75,10,10,0.0,240.0,0.092,0.0,602
75,12,10,100.0,41.55,0.162,0.0,947
76,2,10,100.0,59.95,0.137,0.0,5
76,4,10,100.0,54.7,0.156,0.0,57
76,6,10,100.0,56.75,0.197,0.0,406
76,8,10,100.0,49.65,0.131,0.0,455
76,10,10,100.0,56.1,0.136,0.0,772
76,12,10,100.0,68.7,0.168,0.0,1052
77,2,10,100.0,38.5,0.089,0.0,6
77,4,10,100.0,52.25,0.077,0.0,76
77,6,10,100.0,90.85,0.168,0.0,365
77,8,10,100.0,62.85,0.114,0.0,327
77,10,10,0.0,240.0,0.16,0.0,1940
77,12,10,100.0,61.7,0.188,0.0,989
78,2,10,100.0,69.35,0.077,0.0,5
78,4,10,100.0,43.9,0.177,0.0,66
78,6,10,100.0,46.3,0.238,0.0,210
78,8,10,100.0,50.9,0.217,0.0,433
78,10,10,100.0,101.45,0.228,0.0,1759
78,12,10,100.0,49.45,0.168,0.0,839
79,2,10,100.0,46.55,0.211,0.0,6
79,4,10,100.0,30.7,0.144,0.0,97
79,6,10,100.0,163.5,0.19,0.0,695
79,8,10,100.0,55.6,0.167,0.0,467
79,10,10,100.0,74.4,0.145,0.0,1122
79,12,10,0.0,240.0,0.12,0.0,1008
80,2,10,100.0,50.15,0.125,0.0,10
80,4,10,100.0,60.7,0.167,0.0,160
80,6,10,100.0,70.55,0.198,0.0,245
80,8,10,100.0,49.65,0.102,0.0,296
80,10,10,100.0,47.8,0.15,0.0,913
80,12,10,100.0,163.3,0.163,0.0,2439
81,2,10,100.0,73.95,0.203,0.0,12
81,4,10,100.0,68.95,0.124,0.0,162
81,6,10,100.0,52.85,0.185,0.0,254
81,8,10,100.0,50.35,0.111,0.0,351
81,10,10,100.0,48.95,0.18,0.0,754
81,12,10,100.0,41.0,0.22,0.0,1077
82,2,10,100.0,35.45,0.084,0.0,5
82,4,10,100.0,72.35,0.17,0.0,115
82,6,10,100.0,89.15,0.138,0.0,446
82,8,10,100.0,51.85,0.137,0.0,422
82,10,10,100.0,127.3,0.235,0.0,1615
82,12,10,0.0,240.0,0.131,0.0,1267
83,2,10,100.0,40.7,0.173,0.0,12
83,4,10,100.0,47.05,0.149,0.0,114
83,6,10,100.0,53.95,0.187,0.0,366
83,8,10,100.0,51.25,0.138,0.0,416
83,10,10,0.0,240.0,0.112,0.0,1956
83,12,10,100.0,54.9,0.189,0.0,1066
84,2,10,100.0,29.55,0.134,0.0,10
84,4,10,100.0,35.65,0.154,0.0,78
84,6,10,100.0,40.7,0.15,0.0,198
84,8,10,100.0,51.15,0.092,0.0,271
84,10,10,100.0,72.55,0.185,0.0,763
84,12,10,100.0,88.8,0.343,0.0,1761
85,2,10,100.0,44.3,0.12,0.0,6
85,4,10,100.0,56.05,0.135,0.0,72
85,6,10,100.0,54.3,0.172,0.0,332
85,8,10,100.0,70.35,0.142,0.0,340
85,10,10,100.0,54.7,0.184,0.0,713
85,12,10,100.0,58.7,0.192,0.0,1282
86,2,10,100.0,43.95,0.124,0.0,10
86,4,10,100.0,51.9,0.105,0.0,59
86,6,10,100.0,56.95,0.12,0.0,231
86,8,10,100.0,77.55,0.118,0.0,359
86,10,10,100.0,51.6,0.12,0.0,910
86,12,10,100.0,60.5,0.146,0.0,943
87,2,10,100.0,32.55,0.138,0.0,9
87,4,10,100.0,58.2,0.113,0.0,78
87,6,10,100.0,159.85,0.198,0.0,552
87,8,10,100.0,51.15,0.172,0.0,424
87,10,10,100.0,56.85,0.134,0.0,819
87,12,10,100.0,74.35,0.26,0.0,1155
88,2,10,100.0,39.85,0.076,0.0,6
88,4,10,100.0,58.55,0.212,0.0,57
88,6,10,100.0,57.5,0.218,0.0,238
88,8,10,100.0,73.45,0.177,0.0,442
88,10,10,100.0,60.3,0.196,0.0,729
88,12,10,100.0,76.65,0.183,0.0,1201
89,2,10,100.0,39.55,0.089,0.0,11
89,4,10,100.0,76.35,0.095,0.0,133
89,6,10,100.0,67.55,0.14,0.0,278
89,8,10,100.0,187.4,0.127,0.0,1068
89,10,10,100.0,48.95,0.107,0.0,733
89,12,10,100.0,58.9,0.17,0.0,959
90,2,10,100.0,66.35,0.129,0.0,11
90,4,10,100.0,51.65,0.154,0.0,98
90,6,10,100.0,53.65,0.121,0.0,216
90,8,10,100.0,83.4,0.156,0.0,611
90,10,10,100.0,61.85,0.169,0.0,710
90,12,10,100.0,65.35,0.285,0.0,1192
91,2,10,100.0,58.4,0.087,0.0,14
