trial_id,channel,packet_loss_rate,latency_s,success,makespan_s,intimate_exposure_ticks,mesh_packets,replans
6,loss05_lat100ms,0.05,0.1,1,86.05,0,69,680
7,loss05_lat100ms,0.05,0.1,1,21.3,0,59,355
8,loss05_lat100ms,0.05,0.1,1,36.85,0,80,394
9,loss05_lat100ms,0.05,0.1,1,28.0,0,66,473
10,loss05_lat100ms,0.05,0.1,1,47.05,0,69,435
11,loss05_lat100ms,0.05,0.1,1,21.2,0,80,387
12,loss05_lat100ms,0.05,0.1,1,38.1,0,67,523
13,loss05_lat100ms,0.05,0.1,1,47.05,0,66,516
14,loss05_lat100ms,0.05,0.1,1,40.2,0,70,492
15,loss05_lat100ms,0.05,0.1,1,44.85,0,68,354
16,loss05_lat100ms,0.05,0.1,1,62.95,0,69,670
17,loss05_lat100ms,0.05,0.1,1,42.2,0,71,353
18,loss05_lat100ms,0.05,0.1,1,42.2,0,38,381
19,loss05_lat100ms,0.05,0.1,1,70.15,0,65,482
20,loss05_lat100ms,0.05,0.1,1,56.9,0,67,423
21,loss05_lat100ms,0.05,0.1,1,30.55,0,67,475
22,loss05_lat100ms,0.05,0.1,1,56.85,0,60,447
23,loss05_lat100ms,0.05,0.1,1,42.2,0,68,329
24,loss05_lat100ms,0.05,0.1,1,40.65,47,96,507
25,loss05_lat100ms,0.05,0.1,1,42.8,0,70,331
26,loss05_lat100ms,0.05,0.1,1,34.85,0,58,430
27,loss05_lat100ms,0.05,0.1,1,42.4,0,60,370
28,loss05_lat100ms,0.05,0.1,1,43.35,0,70,352
29,loss05_lat100ms,0.05,0.1,1,66.85,0,69,441
30,loss05_lat100ms,0.05,0.1,1,66.5,0,70,559
1,loss05_lat200ms,0.05,0.2,1,42.2,0,72,463
2,loss05_lat200ms,0.05,0.2,1,91.25,0,66,656
3,loss05_lat200ms,0.05,0.2,1,42.2,0,70,492
4,loss05_lat200ms,0.05,0.2,1,77.55,0,66,681
5,loss05_lat200ms,0.05,0.2,1,21.15,0,75,345
6,loss05_lat200ms,0.05,0.2,1,86.05,0,69,684
7,loss05_lat200ms,0.05,0.2,1,21.3,0,59,357
8,loss05_lat200ms,0.05,0.2,1,36.85,0,74,398
9,loss05_lat200ms,0.05,0.2,1,28.0,0,66,479
10,loss05_lat200ms,0.05,0.2,1,47.05,0,69,438
11,loss05_lat200ms,0.05,0.2,1,21.2,0,80,389
12,loss05_lat200ms,0.05,0.2,1,38.1,0,67,525
13,loss05_lat200ms,0.05,0.2,1,47.05,0,66,519
14,loss05_lat200ms,0.05,0.2,1,40.2,0,70,495
15,loss05_lat200ms,0.05,0.2,1,45.05,0,68,356
16,loss05_lat200ms,0.05,0.2,1,44.85,0,66,460
17,loss05_lat200ms,0.05,0.2,1,42.2,0,71,357
18,loss05_lat200ms,0.05,0.2,1,42.2,0,38,381
19,loss05_lat200ms,0.05,0.2,1,70.15,0,65,486
20,loss05_lat200ms,0.05,0.2,1,56.9,0,65,428
21,loss05_lat200ms,0.05,0.2,1,30.55,0,67,479
22,loss05_lat200ms,0.05,0.2,1,56.85,0,60,450
23,loss05_lat200ms,0.05,0.2,1,42.2,0,68,334
24,loss05_lat200ms,0.05,0.2,1,40.65,47,96,508
25,loss05_lat200ms,0.05,0.2,1,42.8,0,70,332
26,loss05_lat200ms,0.05,0.2,1,34.85,0,58,433
27,loss05_lat200ms,0.05,0.2,1,42.4,0,60,373
28,loss05_lat200ms,0.05,0.2,1,43.35,0,70,356
29,loss05_lat200ms,0.05,0.2,1,66.85,0,69,445
30,loss05_lat200ms,0.05,0.2,1,66.5,0,70,563
1,loss10_lat000ms,0.1,0.0,1,42.2,0,68,457
2,loss10_lat000ms,0.1,0.0,1,44.35,0,65,411
3,loss10_lat000ms,0.1,0.0,1,42.2,0,63,486
4,loss10_lat000ms,0.1,0.0,1,74.9,0,59,672
5,loss10_lat000ms,0.1,0.0,1,21.15,0,74,341
6,loss10_lat000ms,0.1,0.0,1,86.05,0,61,678
7,loss10_lat000ms,0.1,0.0,1,21.3,0,70,357
8,loss10_lat000ms,0.1,0.0,1,36.85,0,67,390
9,loss10_lat000ms,0.1,0.0,1,28.0,0,74,479
10,loss10_lat000ms,0.1,0.0,1,47.05,0,65,432
11,loss10_lat000ms,0.1,0.0,1,26.85,0,71,428
12,loss10_lat000ms,0.1,0.0,1,38.1,0,58,521
13,loss10_lat000ms,0.1,0.0,1,47.05,0,43,513
14,loss10_lat000ms,0.1,0.0,1,40.2,0,65,489
15,loss10_lat000ms,0.1,0.0,1,44.35,0,58,356
16,loss10_lat000ms,0.1,0.0,1,87.15,0,47,832
17,loss10_lat000ms,0.1,0.0,1,42.2,0,66,352
18,loss10_lat000ms,0.1,0.0,1,42.2,0,46,383
19,loss10_lat000ms,0.1,0.0,1,70.15,0,60,481
20,loss10_lat000ms,0.1,0.0,1,51.4,0,61,393
21,loss10_lat000ms,0.1,0.0,1,30.55,0,56,472
22,loss10_lat000ms,0.1,0.0,1,56.85,0,51,447
23,loss10_lat000ms,0.1,0.0,1,42.2,0,60,330
24,loss10_lat000ms,0.1,0.0,1,40.65,47,85,502
25,loss10_lat000ms,0.1,0.0,1,42.8,0,59,330
26,loss10_lat000ms,0.1,0.0,1,34.85,0,67,433
27,loss10_lat000ms,0.1,0.0,1,42.4,0,60,369
28,loss10_lat000ms,0.1,0.0,1,37.4,0,58,468
29,loss10_lat000ms,0.1,0.0,1,66.85,0,56,439
30,loss10_lat000ms,0.1,0.0,1,66.5,0,49,557
1,loss10_lat050ms,0.1,0.05,1,42.2,0,68,457
2,loss10_lat050ms,0.1,0.05,1,44.35,0,62,410
3,loss10_lat050ms,0.1,0.05,1,42.2,0,63,486
4,loss10_lat050ms,0.1,0.05,1,74.9,0,61,672
5,loss10_lat050ms,0.1,0.05,1,21.15,0,72,338
6,loss10_lat050ms,0.1,0.05,1,86.05,0,64,678
7,loss10_lat050ms,0.1,0.05,1,21.3,0,58,354
8,loss10_lat050ms,0.1,0.05,1,36.85,0,77,392
9,loss10_lat050ms,0.1,0.05,1,28.0,0,65,477
10,loss10_lat050ms,0.1,0.05,1,47.05,0,65,433
11,loss10_lat050ms,0.1,0.05,1,21.2,0,65,386
12,loss10_lat050ms,0.1,0.05,1,38.1,0,65,521
13,loss10_lat050ms,0.1,0.05,1,63.7,0,46,607
14,loss10_lat050ms,0.1,0.05,1,40.2,0,64,489
15,loss10_lat050ms,0.1,0.05,1,44.35,0,59,356
16,loss10_lat050ms,0.1,0.05,1,42.85,0,41,459
17,loss10_lat050ms,0.1,0.05,1,42.2,0,66,352
18,loss10_lat050ms,0.1,0.05,1,42.2,0,38,383
19,loss10_lat050ms,0.1,0.05,1,70.15,0,60,480
20,loss10_lat050ms,0.1,0.05,1,51.4,0,59,393
21,loss10_lat050ms,0.1,0.05,1,30.55,0,58,471
22,loss10_lat050ms,0.1,0.05,1,56.85,0,56,447
23,loss10_lat050ms,0.1,0.05,1,42.2,0,68,329
24,loss10_lat050ms,0.1,0.05,1,40.65,47,85,504
25,loss10_lat050ms,0.1,0.05,1,42.8,0,66,329
26,loss10_lat050ms,0.1,0.05,1,34.85,0,58,430
27,loss10_lat050ms,0.1,0.05,1,42.4,0,57,369
28,loss10_lat050ms,0.1,0.05,1,43.35,0,65,350
29,loss10_lat050ms,0.1,0.05,1,66.85,0,56,438
30,loss10_lat050ms,0.1,0.05,1,66.5,0,60,557
1,loss10_lat100ms,0.1,0.1,1,42.2,0,68,458
2,loss10_lat100ms,0.1,0.1,1,44.5,0,62,408
3,loss10_lat100ms,0.1,0.1,1,42.2,0,63,487
4,loss10_lat100ms,0.1,0.1,1,74.9,0,61,672
5,loss10_lat100ms,0.1,0.1,1,21.15,0,72,342
6,loss10_lat100ms,0.1,0.1,1,86.05,0,64,680
